university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ARTS,6080,Graduate Studio Critique,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6090,Art and Code and Interactivity,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6120,Fieldwork as Art,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6160,Advanced Computer Music Composition and Performance,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6200,Advanced Drawing,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4990,B.S. EARTS Thesis,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4600,Ensemble Nonlinear,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4640,Science Fictions,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4390,Composition Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6230,Inflatable Sculpture,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6250,"Art, Community, and Technology",,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6130,New Media Theory,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6150,Media Watch,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4510,Experimental Game Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6560,Hactivism,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6570,Research Methods,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6600,Ensemble Nonlinear,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6400,Experimental Game Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6860,Advanced Digital Imaging,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6220,Painting,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6900,Arts Graduate Colloquium,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6960,Topics in Electronic Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6240,Eco Chic: Living Art,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6410,Deep Listening,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,9990,Dissertation,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6420,Experimental Telepresence,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6260,Life Drawing and Anatomy for Artists,,False,False,False,False
